prefix,city_csv,sim_csv,provider_csv,provider_api,hlr_api,raw_text
812255,Cilacap,HALO / SIMPATI,TELKOMSEL,Telkomunikasi Seluler (Telkomsel) - KartuHALO/Simpati/KartuAS,"Semarang, Indonesia","$ hlrlookup 08122550000000

Operator: Telkomunikasi Seluler (Telkomsel) - KartuHALO/Simpati/KartuAS
HLR     : Semarang, Indonesia"
82282,Cilacap,SIMPATI,TELKOMSEL,Telkomunikasi Seluler (Telkomsel) - KartuHALO/Simpati/KartuAS,"Tanjungkarang, Indonesia","$ hlrlookup 0822820000000

Operator: Telkomunikasi Seluler (Telkomsel) - KartuHALO/Simpati/KartuAS
HLR     : Tanjungkarang, Indonesia"
