prefix,city_csv,sim_csv,provider_csv,provider_api,hlr_api,raw_text
81111,Bogor,HALO,TELKOMSEL,Telkomunikasi Seluler (Telkomsel) - KartuHALO/Simpati/KartuAS,"Bogor, Indonesia","$ hlrlookup 0811110000000

Operator: Telkomunikasi Seluler (Telkomsel) - KartuHALO/Simpati/KartuAS
HLR     : Bogor, Indonesia"
81211,Bogor,HALO / SIMPATI,TELKOMSEL,Telkomunikasi Seluler (Telkomsel) - KartuHALO/Simpati/KartuAS,"Bogor, Indonesia","$ hlrlookup 0812110000000

Operator: Telkomunikasi Seluler (Telkomsel) - KartuHALO/Simpati/KartuAS
HLR     : Bogor, Indonesia"
813117,Bogor,HALO / SIMPATI,TELKOMSEL,Telkomunikasi Seluler (Telkomsel) - KartuHALO/Simpati/KartuAS,"Bogor, Indonesia","$ hlrlookup 08131170000000

Operator: Telkomunikasi Seluler (Telkomsel) - KartuHALO/Simpati/KartuAS
HLR     : Bogor, Indonesia"
813118,Bogor,HALO / SIMPATI,TELKOMSEL,Telkomunikasi Seluler (Telkomsel) - KartuHALO/Simpati/KartuAS,"Bogor, Indonesia","$ hlrlookup 08131180000000

Operator: Telkomunikasi Seluler (Telkomsel) - KartuHALO/Simpati/KartuAS
HLR     : Bogor, Indonesia"
813119,Bogor,HALO / SIMPATI,TELKOMSEL,Telkomunikasi Seluler (Telkomsel) - KartuHALO/Simpati/KartuAS,"Bogor, Indonesia","$ hlrlookup 08131190000000

Operator: Telkomunikasi Seluler (Telkomsel) - KartuHALO/Simpati/KartuAS
HLR     : Bogor, Indonesia"
821100,Bogor,SIMPATI,TELKOMSEL,Telkomunikasi Seluler (Telkomsel) - KartuHALO/Simpati/KartuAS,"Jakarta, Indonesia","$ hlrlookup 08211000000000

Operator: Telkomunikasi Seluler (Telkomsel) - KartuHALO/Simpati/KartuAS
HLR     : Jakarta, Indonesia"
82117,Bogor,SIMPATI,TELKOMSEL,Telkomunikasi Seluler (Telkomsel) - KartuHALO/Simpati/KartuAS,"Bandung, Indonesia","$ hlrlookup 0821170000000

Operator: Telkomunikasi Seluler (Telkomsel) - KartuHALO/Simpati/KartuAS
HLR     : Bandung, Indonesia"
