prefix,city_csv,sim_csv,provider_csv,provider_api,hlr_api,raw_text
811602,Padang,HALO,TELKOMSEL,,,
811603,Padang,HALO,TELKOMSEL,,,
81166,Padang,HALO,TELKOMSEL,,,
81266,Padang,HALO / SIMPATI,TELKOMSEL,,,
81267,Padang,HALO / SIMPATI,TELKOMSEL,,,
81363,Padang,HALO / SIMPATI,TELKOMSEL,,,
81374,Padang,HALO / SIMPATI,TELKOMSEL,,,
