prefix,city_csv,sim_csv,provider_csv,provider_api,hlr_api,raw_text
82148,Banjarmasin,SIMPATI,TELKOMSEL,Telkomunikasi Seluler (Telkomsel) - KartuHALO/Simpati/KartuAS,"Pontianak, Indonesia","$ hlrlookup 0821480000000

Operator: Telkomunikasi Seluler (Telkomsel) - KartuHALO/Simpati/KartuAS
HLR     : Pontianak, Indonesia"
82155,Banjarmasin,SIMPATI,TELKOMSEL,Telkomunikasi Seluler (Telkomsel) - KartuHALO/Simpati/KartuAS,"Banjarmasin, Indonesia","$ hlrlookup 0821550000000

Operator: Telkomunikasi Seluler (Telkomsel) - KartuHALO/Simpati/KartuAS
HLR     : Banjarmasin, Indonesia"
85248,Banjarmasin,AS,TELKOMSEL,Telkomunikasi Seluler (Telkomsel) - KartuHALO/Simpati/KartuAS,"Banjarmasin, Indonesia","$ hlrlookup 0852480000000

Operator: Telkomunikasi Seluler (Telkomsel) - KartuHALO/Simpati/KartuAS
HLR     : Banjarmasin, Indonesia"
85249,Banjarmasin,AS,TELKOMSEL,Telkomunikasi Seluler (Telkomsel) - KartuHALO/Simpati/KartuAS,"Palangkaraya, Indonesia","$ hlrlookup 0852490000000

Operator: Telkomunikasi Seluler (Telkomsel) - KartuHALO/Simpati/KartuAS
HLR     : Palangkaraya, Indonesia"
85348,Banjarmasin,AS,TELKOMSEL,Telkomunikasi Seluler (Telkomsel) - KartuHALO/Simpati/KartuAS,"Banjarmasin, Indonesia","$ hlrlookup 0853480000000

Operator: Telkomunikasi Seluler (Telkomsel) - KartuHALO/Simpati/KartuAS
HLR     : Banjarmasin, Indonesia"
85349,Banjarmasin,AS,TELKOMSEL,Telkomunikasi Seluler (Telkomsel) - KartuHALO/Simpati/KartuAS,"Palangkaraya, Indonesia","$ hlrlookup 0853490000000

Operator: Telkomunikasi Seluler (Telkomsel) - KartuHALO/Simpati/KartuAS
HLR     : Palangkaraya, Indonesia"
