prefix,city_csv,sim_csv,provider_csv,provider_api,hlr_api,raw_text
85279,Bandarlampung,AS,TELKOMSEL,Telkomunikasi Seluler (Telkomsel) - KartuHALO/Simpati/KartuAS,"Tanjungkarang, Indonesia","$ hlrlookup 0852790000000

Operator: Telkomunikasi Seluler (Telkomsel) - KartuHALO/Simpati/KartuAS
HLR     : Tanjungkarang, Indonesia"
85369,Bandarlampung,AS,TELKOMSEL,Telkomunikasi Seluler (Telkomsel) - KartuHALO/Simpati/KartuAS,"Tanjungkarang, Indonesia","$ hlrlookup 0853690000000

Operator: Telkomunikasi Seluler (Telkomsel) - KartuHALO/Simpati/KartuAS
HLR     : Tanjungkarang, Indonesia"
