prefix,city,sim_card,provider
811625,Padangsidempuan,HALO,TELKOMSEL
812624,Padangsidempuan,HALO / SIMPATI,TELKOMSEL
812625,Padangsidempuan,HALO / SIMPATI,TELKOMSEL
