prefix,city,sim_card,provider
81343,Makassar,HALO / SIMPATI,TELKOMSEL
81394,Makassar,HALO / SIMPATI,TELKOMSEL
82187,Makassar,SIMPATI,TELKOMSEL
82188,Makassar,SIMPATI,TELKOMSEL
82195,Makassar,SIMPATI,TELKOMSEL
85242,Makassar,AS,TELKOMSEL
85254,Makassar,AS,TELKOMSEL
