prefix,city,sim_card,provider
81326,Semarang,HALO / SIMPATI,TELKOMSEL
81350,Semarang,HALO / SIMPATI,TELKOMSEL
813939,Semarang,HALO / SIMPATI,TELKOMSEL
82133,Semarang,SIMPATI,TELKOMSEL
82134,Semarang,SIMPATI,TELKOMSEL
82135,Semarang,SIMPATI,TELKOMSEL
8224,Semarang,SIMPATI,TELKOMSEL
