prefix,city,sim_card,provider
812155,Yogyakarta,HALO / SIMPATI,TELKOMSEL
812156,Yogyakarta,HALO / SIMPATI,TELKOMSEL
812157,Yogyakarta,HALO / SIMPATI,TELKOMSEL
812158,Yogyakarta,HALO / SIMPATI,TELKOMSEL
812159,Yogyakarta,HALO / SIMPATI,TELKOMSEL
812269,Yogyakarta,HALO / SIMPATI,TELKOMSEL
81227,Yogyakarta,HALO / SIMPATI,TELKOMSEL
