prefix,city,sim_card,provider
81263,Medan,HALO / SIMPATI,TELKOMSEL
81264,Medan,HALO / SIMPATI,TELKOMSEL
81265,Medan,HALO / SIMPATI,TELKOMSEL
81361,Medan,HALO / SIMPATI,TELKOMSEL
81362,Medan,HALO / SIMPATI,TELKOMSEL
81370,Medan,HALO / SIMPATI,TELKOMSEL
81375,Medan,HALO / SIMPATI,TELKOMSEL
