prefix,city,sim_card,provider
8215,Bandung,SIMPATI,TELKOMSEL
8220,Bandung,SIMPATI,TELKOMSEL
85220,Bandung,AS,TELKOMSEL
85221,Bandung,AS,TELKOMSEL
85223,Bandung,AS,TELKOMSEL
85294,Bandung,AS,TELKOMSEL
85320,Bandung,AS,TELKOMSEL
