prefix,city,sim_card,provider
81218,Jakarta,HALO / SIMPATI,TELKOMSEL
81219,Jakarta,HALO / SIMPATI,TELKOMSEL
8128,Jakarta,HALO / SIMPATI,TELKOMSEL
8129,Jakarta,HALO / SIMPATI,TELKOMSEL
8130,Jakarta,HALO / SIMPATI,TELKOMSEL
81310,Jakarta,HALO / SIMPATI,TELKOMSEL
81311,Jakarta,HALO / SIMPATI,TELKOMSEL
